event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR37916,"10 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashdod,Ashdod,31.7921,34.6497,2,Ynet,National,"Interception: On 10 November 2023, Hamas militants fired rockets from Gaza toward southern Israel, causing sirens to sound in Ashdod (Ashqelon, HaDarom) and surrounding areas. Not all of the rockets hit populated areas, as some were presumably intercepted by the iron dome over the area of Ashdod or fell in open areas.",0,,1715049479
ISR37939,"10 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Nahal Oz",31.4731,34.4983,2,"Jerusalem Post",National,"Interception: On 10 November 2023, Hamas militants fired rockets from Gaza toward southern Israel, causing sirens to sound in Nahal Oz (Ashqelon, HaDarom) and surrounding areas. Not all of the rockets hit populated areas, as some were presumably intercepted by the iron dome over the area of Nahal Oz or fell in open areas.",0,,1715049479
ISR37956,"10 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Saad,31.4714,34.5347,2,"Jerusalem Post",National,"Interception: On 10 November 2023, Hamas militants fired rockets from Gaza toward southern Israel, causing sirens to sound in Saad (Beer Sheva, HaDarom) and surrounding areas. Not all of the rockets hit populated areas, as some were presumably intercepted by the iron dome over the area of Saad or fell in open areas.",0,,1715049479
ISR37938,"10 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Kissufim,31.3749,34.3984,2,"Haaretz; Jerusalem Post; Ynet",National,"Interception: On 10 November 2023, Hamas militants fired rockets from Gaza toward southern Israel, causing sirens to sound in Kissufim (Beer Sheva, HaDarom) and surrounding areas. Not all of the rockets hit populated areas, as some were presumably intercepted by the iron dome over the area of Kissufim or fell in open areas.",0,,1715641785
ISR37933,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,HaMerkaz,Rehovot,"Rishon LeZiyyon","Rishon LeZion",31.971,34.7894,1,"Haaretz; Ynet",National,"On 10 November 2023, Hamas militants fired rockets from Gaza toward central Israel, including Rishon LeZion (Rehovot, HaMerkaz). One rocket was intercepted above Rishon LeZion, with debris from the intercepted rocket falling in the city. No injuries occurred.",0,,1722898728
ISR37932,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia","Military Forces of Israel (2022-)","Civilians (Israel)","State forces","State forces-Political militia",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; N12; Ynet",National,"On 10 November 2023, Hamas militants fired rockets from Gaza at Tel Aviv city. Two rockets were intercepted above Tel Aviv. Two people were injured from the shrapnel of the intercepted rockets in separate incidents.",0,,1722898728
ISR37952,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,HaMerkaz,Rehovot,"Rishon LeZiyyon","Rishon LeZion",31.971,34.7894,2,Ynet,National,"On 10 November 2023, Hamas militants fired rockets from Gaza toward central Israel, causing sirens to sound in Rishon LeZion (Rehovot, HaMerkaz) and surrounding areas. Not all of the rockets hit populated areas, as some were intercepted by the iron dome over the area of Rishon LeZion or fell in open areas.",0,,1722903298
ISR37966,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,2,"Haaretz; N12; Ynet",National,"On 10 November 2023, Hamas militants fired rockets from Gaza toward central Israel, causing sirens to sound in Tel Aviv city and surrounding areas. Not all of the rockets hit populated areas, as at least nine were intercepted iron dome and others presumably fell in open areas.",0,,1722903298
ISR37962,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Air/drone strike",Hezbollah,,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Margaliyyot,33.2147,35.5449,2,"Haaretz; Israel Hayom; N12; Times of Israel; Ynet",National,"On 10 November 2023, two IDF soldiers were injured, one of them seriously, in a drone attack from Lebanon, toward the area of the Upper Galilee Regional council, presumably near Margaliyyot (Zefat, HaZafon). Hezbollah claimed responsibility for launching three attack drones at northern Israel. One of them was intercepted, while two landed in Israel and caused injuries to the soldiers.",0,,1725317922
ISR37988,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia","Civilians (Israel)",,Civilians,"Political militia-Civilians","Civilian targeting",376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Margaliyyot,33.2147,35.5449,2,"Israel Hayom",National,"On 10 November 2023, Hezbollah militants fired an anti-tank missile from Lebanon that landed near Margaliyyot (Zefat, HaZafon). As a result, one person was injured.",0,,1725317922
ISR37945,"10 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Petah Tiqwa","Petah Tikva",32.0871,34.8875,2,Ynet,National,"Interception: On 10 November 2023, Hamas militants fired rockets from Gaza toward central Israel, causing sirens to sound in Petah Tikva (Petah Tiqwa, HaMerkaz) and surrounding areas. Not all of the rockets hit populated areas, as some were intercepted by the iron dome over the area of Petah Tikva or fell in open areas.",0,,1725924057
ISR37986,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia","Military Forces of Israel (2022-)",,"State forces","State forces-Political militia",,376,"Middle East",Israel,HaZafon,Zefat,"Eastern Upper Galilee",Menara,33.1969,35.5439,2,"Haaretz; Israel Hayom; N12; Times of Israel; Ynet",National,"On 10 November 2023, three Israeli soldiers were seriously injured by anti-tank missiles fired from Lebanon at an IDF post near Menara (Zefat, HaZafon). Hezbollah claimed responsibility for the anti-tank fire.",0,,1727134522
ISR37987,"10 November 2023",2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack",Hezbollah,,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaZafon,Akko,Elon,Aramsha,33.0878,35.2284,1,"Israel Hayom; Times of Israel; Ynet",National,"On 10 November 2023, Hezbollah forces fired two mortar bombs from Lebanon at Aramsha (Akko, HaZafon). Both mortars fell in open areas. No injuries or damages were caused.",0,,1730758097
ISR37941,"09 November 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Nirim,31.3356,34.3951,2,"N12; Times of Israel; Walla!News; Ynet",National,"Interception: On 9 November 2023, Hamas militants fired rockets from Gaza toward southern Israel, causing sirens to sound in Nirim (Beer Sheva, HaDarom) and surrounding areas. Not all of the rockets hit populated areas, as some were presumably intercepted by the iron dome over the area of Nirim or fell in open areas. Since the beginning of the war, about 9,500 rockets have been fired toward Israel, mostly from Gaza. About 12% of launches from Gaza fell within the Strip, while about 2,000 projectiles were intercepted by Israeli air defense systems.",0,,1699919403
