event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR40160,"13 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Rioters (Israel)",,Rioters,Rioters-Rioters,,376,"Middle East",Israel,HaMerkaz,Rehovot,Rehovot,Rehovot,31.8942,34.812,1,"13 News; Arutz Sheva; Globes; Times of Israel; Ynet",National,"On 13 May 2024, a demonstration took place at the military cemetery in Rehovot (HaMerkaz), where Housing Minister Yitzhak Goldknopf was set to speak during a memorial day ceremony. Demonstrators yelled 'shame' and other chants at Goldknopf during his speech. This led to confrontations and heated arguments, some of which turned into physical altercations. Demonstrators argued that the government's not doing enough to secure the release of hostages.",0,"crowd size=no report",1729632673
ISR40166,"12 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; Times of Israel; Ynet",National,"On 12 May 2024, about 100 protested outside of IDF headquarters in Tel Aviv city, calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Relatives of hostages took part in the protest. Protesters briefly blocked traffic, likely by standing or walking on the roads.",0,"crowd size=about 100",1719876469
ISR40087,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Former Military Forces of Israel (2022-)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,Haifa,Hadera,Hadera,Caesarea,32.4921,34.8922,1,"Haaretz; Walla!News; Ynet",National,"On 11 May 2024, over 2,000 protested near Prime Minister Netanyahu's private residence in Caesarea (Hadera, Haifa), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. The protest was led by IDF veterans of the Yom Kippur War.",0,"crowd size=over 2,000",1716240620
ISR40162,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,Ashqelon,Lakhish,"Qiryat Gat",31.61,34.7642,1,Haaretz,National,"On 11 May 2024, displaced residents of Nir Oz held a protest in Qiryat Gat (Ashqelon, HaDarom), calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas.",0,"crowd size=no report",1716240620
ISR40158,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaZafon,Yizreel,Yizreel,Nahalal,32.6904,35.1965,1,"Haaretz; Ynet",National,"On 11 May 2024, a protest took place in Nahalal (Yizreel, HaZafon), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Shikma Bressler, a prominent leader of the anti-Netanyahu protest movement against the judicial overhaul, spoke at the protest.",0,"crowd size=no report",1719274424
ISR40161,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaZafon,Akko,Karmiel,Karmiel,32.9171,35.305,1,Haaretz,National,"On 11 May 2024, a protest took place in Karmiel (Akko, HaZafon), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Protesters blocked traffic, likely by standing or walking on the roads.",0,"crowd size=no report",1719274424
ISR40086,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Former Government of Israel (2022-); Kahol Lavan: Blue and White",Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"13 News; Haaretz; N12; Times of Israel; Walla!News; Ynet",National,"On 11 May 2024, tens of thousands protested at Kaplan Junction In Tel Aviv city, calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Relatives of hostages took part in the protest. A former Blue and White MK spoke at the protest.",0,"crowd size=tens of thousands",1719876469
ISR40147,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Hostages and Missing Families Forum",Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"13 News; Haaretz; N12; Times of Israel; Walla!News; Ynet",National,"On 11 May 2024, thousands protested at 'Hostages Square' in Tel Aviv city, calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. The protest was organized by the Hostages and Missing Families Forum. A separate protest calling for the release of hostages took part outside of IDF headquarters in the city, where protesters also called for early elections and Netanyahu's dismissal. Relatives of hostages took part in both protests.",0,"crowd size=thousands",1719876469
ISR40164,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaMerkaz,Sharon,"Western Sharon",Netanya,32.3329,34.8599,1,"Netanya Net; Ynet",Subnational-National,"On 11 May 2024, hundreds protested in Netanya (Sharon, HaMerkaz), calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Protesters also called for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War.",0,"crowd size=hundreds",1719876469
ISR40159,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,Haifa,Haifa,Haifa,Haifa,32.8184,34.9885,1,"Haaretz; Hai Po; Walla!News; Ynet",Subnational-National,"On 11 May 2024, hundreds marched and protested in Haifa city, calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas.",0,"crowd size=hundreds",1721086473
